og Ka_anostraca dKa_anostracaVScladocera p_anostracaVScladocera Ka_notostraca dKa_anostracaVSnotostraca p_anostracaVSnotostraca Ka_cladocera dKa_cladoceraVSnotostraca p_cladoceraVSnotostraca anostraca_GC_tot anostraca_GC_1st anostraca_GC_2nd anostraca_GC_3rd notostraca_GC_tot notostraca_GC_1st notostraca_GC_2nd notostraca_GC_3rd cladocera_GC_tot cladocera_GC_1st cladocera_GC_2nd cladocera_GC_3rdOG0004926 0.507321 0.0319523 0.228943 0.499797 0.00752395 0.80225 0.475369 -0.0244283 0.80225 0.393 0.461 0.356 0.363 0.440 0.510 0.390 0.419 0.438 0.498 0.345 0.471 
OG0004927 0.660315 0.191015 0.000125554 0.479124 0.181191 0.000326406 0.4693 -0.00982389 0.000326406 0.423 0.568 0.347 0.352 0.441 0.493 0.425 0.404 0.431 0.485 0.419 0.390 
OG0004928 0.323378 0.0126938 0.51479 0.312331 0.0110469 0.592389 0.310685 -0.00164683 0.592389 0.445 0.526 0.428 0.382 0.468 0.475 0.405 0.525 0.458 0.527 0.389 0.458 
OG0004933 0.0220805 -0.00809612 0.386171 0.0229117 -0.000831205 0.911715 0.0301766 0.00726491 0.911715 0.360 0.518 0.226 0.336 0.412 0.481 0.226 0.528 0.404 0.491 0.226 0.494 
OG0004937 0.427381 -0.0633826 0.0960147 0.463802 -0.0364217 0.373197 0.490763 0.0269609 0.373197 0.435 0.473 0.401 0.431 0.486 0.568 0.405 0.484 0.498 0.603 0.373 0.517 
OG0004940 0.550955 0.0949258 0.00575505 0.416362 0.134593 3.16903e-05 0.456029 0.0396673 3.16903e-05 0.384 0.493 0.338 0.321 0.476 0.513 0.359 0.556 0.423 0.477 0.329 0.463 
OG0004941 0.424846 0.125479 0.00493226 0.319137 0.105709 0.0244174 0.299367 -0.0197694 0.0244174 0.394 0.511 0.364 0.307 0.467 0.584 0.364 0.455 0.451 0.568 0.386 0.398 
OG0004945 0.386861 -0.0153264 0.563197 0.380618 0.00624302 0.840001 0.402188 0.0215694 0.840001 0.441 0.572 0.428 0.324 0.480 0.549 0.465 0.426 0.452 0.532 0.451 0.372 
OG0004946 0.0896885 -0.0376912 0.00822633 0.0954841 -0.00579556 0.672869 0.12738 0.0318957 0.672869 0.378 0.449 0.276 0.409 0.448 0.471 0.307 0.567 0.414 0.470 0.283 0.488 
OG0004949 0.399424 0.069498 0.0160135 0.313604 0.0858195 0.0041275 0.329926 0.0163215 0.0041275 0.388 0.517 0.309 0.338 0.477 0.546 0.307 0.576 0.441 0.572 0.296 0.456 
OG0004950 0.151759 -0.0624656 0.319404 0.113339 0.0384198 0.428439 0.214225 0.100885 0.428439 0.417 0.536 0.393 0.321 0.493 0.509 0.393 0.576 0.528 0.571 0.476 0.536 
OG0004952 0.346075 0.0878415 0.000626303 0.247562 0.0985137 0.000144822 0.258234 0.0106722 0.000144822 0.438 0.504 0.421 0.388 0.482 0.535 0.434 0.476 0.477 0.544 0.435 0.451 
OG0004953 0.283135 0.0092226 0.700041 0.297668 -0.0145332 0.572778 0.273912 -0.0237558 0.572778 0.452 0.500 0.490 0.366 0.540 0.550 0.490 0.580 0.468 0.515 0.454 0.435 
OG0004954 0.71038 0.21885 0.00036616 0.553445 0.156935 0.0152503 0.49153 -0.0619149 0.0152503 0.420 0.477 0.366 0.418 0.465 0.546 0.333 0.517 0.421 0.523 0.307 0.434 
OG0004955 0.206548 -0.00216401 0.8241 0.196765 0.00978377 0.301588 0.208712 0.0119478 0.301588 0.432 0.541 0.443 0.312 0.483 0.550 0.457 0.440 0.515 0.557 0.457 0.532 
OG0004956 0.400727 0.00423447 0.908791 0.406118 -0.00539125 0.896633 0.396492 -0.00962573 0.896633 0.360 0.426 0.331 0.324 0.464 0.530 0.413 0.448 0.445 0.488 0.404 0.444 
